csv,week,
date,rms1,rms2,rms3,rms4,
2021-05-26 10:49:36,0.7233,0.5634,1.6966,0.967,
2021-05-26 10:54:36,0.729,0.5471,1.698,0.9769,
2021-05-26 10:59:36,0.7284,0.5605,1.6768,1,
2021-05-26 11:04:37,0.7276,0.5618,1.6598,0.9789,
2021-05-26 11:09:36,0.7214,0.5502,1.6662,0.9876,
2021-05-26 11:14:36,0.718,0.5623,1.6958,0.9708,
2021-05-26 11:19:36,0.7391,0.5609,1.6892,1.0095,
2021-05-26 11:24:36,0.7363,0.5593,1.7151,0.9989,
2021-05-26 11:29:36,0.7315,0.5626,1.67,1.0179,
2021-05-26 11:34:36,0.719,0.5434,1.6874,0.986,
2021-05-26 11:39:36,0.7244,0.5654,1.7142,1.001,
2021-05-26 11:44:36,0.7299,0.5721,1.6713,1.0136,
2021-05-26 11:49:36,0.7249,0.5769,1.709,1.0138,
2021-05-26 11:54:36,0.7221,0.5657,1.7092,0.979,
2021-05-26 11:59:36,0.7403,0.5785,1.7065,0.9775,
2021-05-26 12:04:37,0.7465,0.5871,1.7059,1.0212,
2021-05-26 12:09:36,0.7576,0.6002,1.6949,1.0295,
2021-05-26 12:14:36,0.7614,0.6099,1.6824,1.0162,
2021-05-26 12:19:36,0.7569,0.5902,1.7174,1.0069,
2021-05-26 12:24:36,0.7449,0.5785,1.6911,1.0311,
2021-05-26 12:29:36,0.7534,0.5878,1.7075,1.0287,
2021-05-26 12:34:36,0.7592,0.5837,1.7274,1.0307,
2021-05-26 12:39:36,0.7465,0.593,1.7149,1.0294,
2021-05-26 12:44:36,0.7467,0.6033,1.7096,1.0574,
2021-05-26 12:49:36,0.7435,0.5912,1.7206,1.0446,
2021-05-26 12:54:36,0.7564,0.618,1.723,1.038,
2021-05-26 12:59:36,0.7351,0.5953,1.7491,1.0418,
2021-05-26 13:04:37,0.7459,0.5999,1.7107,1.0587,
2021-05-26 13:09:36,0.7379,0.593,1.7018,1.0564,
2021-05-26 13:14:36,0.7576,0.6051,1.7015,1.0412,
2021-05-26 13:19:36,0.7567,0.6148,1.6964,1.0396,
2021-05-26 13:24:36,0.7317,0.5897,1.6996,1.056,
2021-05-26 13:29:36,0.7534,0.6175,1.7289,1.0135,
2021-05-26 13:34:36,0.7525,0.6199,1.7119,1.0452,
2021-05-26 13:39:36,0.7384,0.6031,1.7136,1.0262,
2021-05-26 13:44:36,0.7365,0.5988,1.7328,1.0291,
2021-05-26 13:49:36,0.7548,0.6102,1.7075,1.0505,
2021-05-26 13:54:36,0.7409,0.6041,1.7181,1.0179,
2021-05-26 13:59:36,0.7344,0.6013,1.7201,1.0396,
2021-05-26 14:04:37,0.7478,0.6071,1.7114,1.0501,
2021-05-26 14:09:36,0.7535,0.6135,1.6996,1.0556,
2021-05-26 14:14:36,0.7514,0.6055,1.7288,1.0685,
2021-05-26 14:19:36,0.7373,0.5884,1.6935,1.0773,
2021-05-26 14:24:36,0.7428,0.595,1.6804,1.0767,
2021-05-26 14:29:36,0.7484,0.6062,1.7286,1.0554,
2021-05-26 14:34:36,0.7535,0.5993,1.7317,1.0627,
